hhid,personid1,personid2,personid3,personid4,price,nkids,jbstathoh,us,ustot,usa,usb,usc,usd,use,usg,ush,usi,usj
3004,5619177,NA,NA,NA,137450,0,in paid employ,yes,"£20,000-24,499",no,yes,yes,no,no,no,yes,yes,no
2328,2989419,NA,NA,NA,197000,1,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1619,1468355,NA,NA,NA,1707000,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
3656,4363763,NA,NA,NA,205000,0,in paid employ,don't know,not applicable,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know,don't know
620,1355992,NA,NA,NA,219950,1,retired,yes,<£200,no,no,yes,no,no,no,no,no,no
1695,152642,NA,NA,NA,146000,1,retired,no,not applicable,no,no,no,no,no,no,no,no,no
746,2893647,5984692,NA,NA,125000,0,retired,yes,<£200,no,yes,yes,no,no,no,no,no,no
1582,9869907,NA,NA,NA,137950,0,something else,no,not applicable,no,no,no,no,no,no,no,no,no
1401,2990576,NA,NA,NA,114250,0,long-term sick/disab,no,not applicable,no,no,no,no,no,no,no,no,no
3709,1518624,NA,NA,NA,1545000,0,in paid employ,yes,£500-999,no,no,no,yes,no,no,no,no,no
1462,9839727,NA,NA,NA,540000,1,retired,no,not applicable,no,no,no,no,no,no,no,no,no
28,7336935,NA,NA,NA,183000,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
2545,1702806,NA,NA,NA,330000,1,in paid employ,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
1955,6169798,NA,NA,NA,205000,0,self employed,yes,don't know,yes,no,yes,no,no,no,yes,no,no
1049,6719637,279144,NA,NA,100000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
1228,1754994,NA,NA,NA,177000,1,unemployed,no,not applicable,no,no,no,no,no,no,no,no,no
444,7573020,NA,NA,NA,119950,0,something else,no,not applicable,no,no,no,no,no,no,no,no,no
2144,9997486,NA,NA,NA,250000,0,retired,yes,<£200,yes,no,no,no,no,no,no,no,no
2183,6188530,NA,NA,NA,102500,0,retired,no,not applicable,no,no,no,no,no,no,no,no,no
4465,5406031,NA,NA,NA,138995,0,retired,refused,not applicable,refused,refused,refused,refused,refused,refused,refused,refused,refused
4303,2338324,NA,NA,NA,499500,0,something else,no,not applicable,no,no,no,no,no,no,no,no,no
2787,146492,NA,NA,NA,249000,1,in paid employ,yes,£200-499,no,no,yes,yes,no,no,yes,no,no
500,6443237,NA,NA,NA,220000,0,in paid employ,no,not applicable,no,no,no,no,no,no,no,no,no
